coverage	n
1	24
2	53
3	48
4	112
5	136
6	123
7	202
8	287
9	295
10	383
11	623
12	1035
13	1107
14	1224
15	1647
16	1849
17	2153
18	2230
19	2479
20	2361
21	2454
22	2368
23	2010
24	2132
25	2037
26	1661
27	1452
28	1285
29	1193
30	1081
31	819
32	720
33	531
34	556
35	417
36	297
37	209
38	179
39	116
40	59
41	40
42	44
43	59
44	42
45	46
46	26
47	32
48	41
49	24
50	16
51	9
52	3
53	4
54	4
55	2
56	0
57	0
58	0
59	2
60	2
61	3
62	1
63	2
64	9
65	22
66	13
67	11
68	7
69	9
70	6
71	11
72	14
73	18
74	2
75	2
76	0
77	3
78	6
